leverage_ratio,total_asset_total_liab,current_ratio,quick_ratio,ROI,ROE,asset_turnover,ROS,debt_coversion_ratio,debt_ratio,ROCE,Default,nace,nace_group
2.558435127,1.390863927,1.278103993,1.23414504,1.099248629,3.911604935,0.882022067,0.047093379,0.05863306,0.718977594,0.206598415,0,1020,1
1.757664609,1.568936756,1.703549682,0.992451899,0.787312159,2.171142878,0.532957447,0.016025151,0,0.637374321,0.081943175,0,1431,2
12.2867268,1.081388641,1.081993795,1.069019081,-1.253044197,-16.64885592,1.926143252,0.016406721,-0.030970722,0.924736919,0.236991964,0,1723,2
13.66710901,1.073168364,0.948670002,0.257939756,0.729866825,10.70503628,1.188170364,0.019049801,0.095813258,0.931820238,0.038877916,0,1013,2
4.499320042,1.222255805,1.213763353,0.657298385,0.236837244,1.302443802,1.198470788,0.027306408,0.008271771,0.818159337,0.332046447,0,1310,2
11.89360473,1.084078799,1.238345368,0.443409588,0.408919098,5.272441216,0.776096894,0.045684634,0.01080567,0.92244217,0.198698582,0,1520,2
1.1095395,1.901274808,0.746427591,0.295924449,1.042608533,2.199423883,0.37978746,0.068007442,0.11301913,0.525962894,0.140663223,0,1013,2
2.837136602,1.352468048,1.310476473,1.05021324,0.409970052,1.573111093,0.948282584,0.031770496,0.00952684,0.739389002,0.78096015,0,1039,2
12.54785024,1.079694926,1.123043485,0.616586016,-0.061772283,-0.836881642,1.038902485,0.021724427,-0.00359731,0.926187551,0.159316577,0,1430,3
7.490349204,1.133505124,1.073047202,1.026844799,1.692997539,14.3741403,2.12471583,0.024090659,0.055354069,0.882219214,0.741609404,0,1073,1
2.756607664,1.362764717,1.407637736,0.540665885,0.093790813,0.352335289,0.596157217,0.06703868,0.004511941,0.733802385,0.162900039,0,1623,2
1.274441855,1.784657218,2.299897607,2.279767763,6.124867844,13.93065578,1.424154944,0.064574568,0,0.560331693,0.535194812,0,1812,2
2.039989706,1.490198552,0.849866,0.564832427,0.386693795,1.175545157,0.975050115,0.022579261,0.015869105,0.671051518,0.265704928,0,2015,2
2.88408149,1.346730841,1.599345806,1.064618173,0.343666541,1.334828851,1.10863795,0.02805119,0.01559325,0.742538872,0.109677994,0,2059,1
6.999953687,1.142858088,1.203872199,0.626720306,-1.248386256,-9.987032234,0.939349292,0.018425537,-0.026809391,0.874999276,0.112125383,0,1624,2
13.29495398,1.075216507,1.00920807,0.870937088,0.049480314,0.707318813,1.156674353,0.018756403,0.002031235,0.930045245,0.074698606,0,1812,2
1.919539669,1.520958236,1.143951988,0.811708861,-1.203366853,-3.513277263,0.511478237,-0.016959816,-0.05093063,0.657480249,-0.027298776,0,1082,1
3.212664904,1.311268069,0.960829672,0.871380786,-0.633914236,-2.670468255,0.947182191,0.016493396,0,0.762620568,0.033973771,0,1071,2
7.05946649,1.141653764,1.165685007,0.133856355,0.071769879,0.578426937,0.812166398,0.037186946,0.001193332,0.875922308,0.222315272,0,1102,2
2.713151405,1.368575081,1.464607932,1.200108495,0.080783589,0.299961698,1.87814659,-0.015579498,0,0.730686985,-0.173759231,0,1410,2
15.35653193,1.06511887,1.085396311,0.932577904,2.14649501,35.10921416,1.656897467,0.025349642,0,0.938862345,0.655398716,0,1413,3
1.680193597,1.59516951,1.03407717,0.426772851,-0.768089506,-2.058628576,0.360750078,0.027345263,0,0.626892624,0.038407956,0,1084,1
6.655274118,1.150256771,1.3262265,0.992706665,1.686260547,12.90878672,1.075082935,0.066438998,0.042625324,0.869371105,0.361979175,0,1723,2
11.28864963,1.088584555,2.105247951,1.098819499,-0.330502816,-4.061433305,0.549792335,0.009143579,-0.017722396,0.918624094,0.008726573,0,1414,1
1.4459323,1.691595312,1.52922939,0.865031237,1.799518855,4.401501292,1.02212886,0.0512178,0.086248223,0.59115794,0.244615135,0,1430,3
3.116418031,1.320881214,0.970363376,0.614819362,0.177534689,0.730806993,0.480112966,0.060562491,0.011249553,0.757070348,0.06124953,0,1623,2
1.515142333,1.660004,1.69416631,1.494416796,6.188389317,15.56467995,1.986703955,0.046126126,0,0.602408187,0.315026581,0,1071,2
15.02257355,1.066566491,1.230340125,1.156531589,0.58175197,9.321163719,1.643040898,0.030966756,0.030876962,0.937588054,0.173581396,0,1511,2
1.610631665,1.62087442,0.749858715,0.320805336,-0.329509963,-0.860229143,0.36515921,0.05709315,-0.036284832,0.616950942,0.027584837,0,1082,1
6.9278886,1.144344122,0.819578901,0.632487912,1.350193174,10.70418108,0.727429415,0.074078617,0,0.873863011,0.140392811,0,1414,1
9.3217952,1.107275474,1.409825601,0.836538188,1.763269635,18.20010806,1.111100933,0.034328387,0,0.903117628,0.176962504,0,1102,2
7.313847709,1.136726938,0.712937954,0.432683526,-1.262667198,-10.49762279,0.453806801,0.005139228,-0.070608861,0.879718749,0.005562346,0,2059,1
19.31249059,1.051779961,1.423303347,0.990664288,0.178522459,3.626235761,0.796730465,0.042457104,0,0.950769208,0.100319892,0,1410,2
15.42856585,1.064814838,1.104427486,0.827492295,3.57794395,58.7804878,1.913863301,0.028227558,0,0.939130414,0.494144487,0,1419,2
22.05429045,1.045342651,0.984152148,0.654222048,0.481881475,11.10943548,1.756399103,0.034209043,0.016352746,0.956624126,0.358664315,0,1392,2
12.09395487,1.082685938,1.212880918,0.662851089,1.665995314,21.81446745,2.283868808,0.011240023,0.112639049,0.92362888,0.113113094,0,1089,2
5.684898569,1.175904634,1.09793564,0.831350286,0.130397176,0.871691896,1.239971625,0.022690766,0.035252473,0.850409099,0.084412658,0,1812,2
8.924552333,1.112050438,0.95189945,0.610156617,0.428421487,4.251891463,1.36755266,0.021146288,0.014703609,0.899239788,1.11872041,0,1419,2
10.42324851,1.09593938,1.308411912,1.010975913,1.246922529,14.24390592,1.256814177,0.026313434,0.052323657,0.912459227,0.083949805,0,2016,1
3.540212775,1.282468898,0.889768772,0.659601554,5.921008813,26.88263985,0.923542672,0.100571792,0,0.779746005,1.116105618,0,1040,3
6.585369338,1.151851771,1.176855801,0.641826772,0.198739194,1.507510191,0.644527759,0.03680969,0,0.868167263,0.11957703,0,1723,2
17.89779315,1.05587281,1.214536378,0.805572546,1.620152619,30.61730906,1.729718763,0.024473912,0.083989399,0.947083768,0.16217977,0,1812,2
17.35179208,1.057630935,1.368448507,1.093033708,1.204062806,22.09671027,2.479213911,0.014954442,0,0.945509409,0.111950623,0,1812,2
2.374429702,1.421153761,1.694287096,1.485302819,1.275968502,4.305666011,1.661064148,0.011144715,0,0.703653628,0.10152149,0,1430,3
13.48724733,1.074144114,1.626158468,0.813952847,-1.065310294,-15.43341372,0.577240569,0.000620945,-0.073754742,0.930973775,0.000804526,0,1102,2
1.689291219,1.591964244,0.926401369,0.827830077,1.213256827,3.26280093,1.672445668,0.017486051,0,0.628154812,1.086327036,0,2041,2
1.93835871,1.515900382,1.042760839,0.879322589,-1.082706814,-3.181380999,1.268571221,0.007165561,0,0.659673955,0.022633093,0,1013,2
1.163072823,1.85979139,1.795333688,1.795333688,1.268220412,2.743253107,1.8539397,0.019108892,0,0.537694714,0.30982798,0,1512,2
1.255501219,1.796494647,0.356806424,0.356806424,1.167740949,2.633841133,0.369961124,0.04708329,0,0.556639566,0.041253736,0,2015,2
3.304198426,1.302645262,1.414620962,1.187198418,0.095163499,0.409602585,1.34267907,0.012458175,0.09877402,0.767668704,0.03105477,0,1071,2
6.13741293,1.162935102,0.874051971,0.673477603,0.624144503,4.454777047,0.799607832,0.049693718,0.011940005,0.859893212,0.277161083,0,1629,2
3.075119553,1.325190609,1.083687777,0.769382961,0.605695432,2.468281298,0.561627405,0.076636614,0.026068924,0.754608426,0.107358341,0,1052,3
10.9775249,1.091095216,0.89603193,0.89603193,0.519607884,6.223616372,2.228772346,0.016892073,0,0.916510297,0.349313032,0,1813,2
2.861613747,1.349453172,1.082760146,0.800162895,0.022021697,0.085039286,0.524281214,0.053562711,0.000963272,0.741040905,0.094160785,0,1082,1
3.567790451,1.280285519,2.472020031,1.796391856,0.122240026,0.558366824,0.949809753,0.018922387,0,0.781075772,0.041824974,0,1723,2
2.396659943,1.417247346,1.894664674,1.642958767,-4.285042884,-14.55483352,0.966001887,-0.062163484,0,0.705593137,-0.273302137,0,1623,2
1.268108397,1.788576121,1.859901939,1.399882554,0.36052375,0.817706944,1.212427484,0.021887125,0.011389817,0.559103965,0.234564175,0,1420,2
1.000438412,1.99956178,1.458516176,1.360511862,8.21209719,16.42779467,1.367630164,0.087637407,0,0.500109579,0.941709827,0,1624,2
5.922403985,1.168850352,1.105615146,0.561754654,0.268779423,1.86059975,0.927627598,0.050064392,0.011531715,0.855541514,0.111167028,0,2059,1
4.12208582,1.242595628,1.232676165,0.463414606,0.914933931,4.686370114,1.318452654,0.021671856,0.038909741,0.804767035,0.286626472,0,1520,2
1.489532078,1.671351772,1.626555184,1.191506683,-1.80731304,-4.49936379,1.486556637,-0.004822879,0,0.59831809,-0.051431205,0,1610,2
9.871253294,1.101304259,0.609354822,0.26121284,1.218757152,13.24941771,0.897340531,0.034740861,0.102992401,0.908014286,0.134615945,0,1623,2
18.31587076,1.054597459,0.661885634,0.661885634,-0.374525016,-7.234276802,1.263119854,0.021642382,0,0.948229101,0.952370446,0,1419,2
12.88616973,1.077602579,1.996322444,1.826809738,0.944642384,13.11746448,1.790165835,0.016851388,0,0.927985901,0.064551562,0,1813,2
9.610994869,1.104047501,1.056644055,0.259199037,0.676820612,7.181740044,1.303993258,0.029624382,0,0.90575813,0.688226119,0,1623,2
4.416699309,1.226413421,1.001373419,0.650498375,0.350486439,1.898479649,0.768264345,0.051034777,0.01770433,0.815385728,0.158397946,0,1812,2
6.806799501,1.146911922,1.088960336,0.608996016,0.102900217,0.803321359,0.776488154,0.077820193,0.00231773,0.871906535,0.636272648,0,1723,2
6.155562611,1.162454687,1.408642599,0.315715092,-0.01992012,-0.142539668,1.442177776,0.016173842,-0.001186304,0.860248585,0.078738641,0,1102,2
17.24656224,1.05798257,1.668623582,1.463626603,0.178225775,3.252007695,0.888274473,0.017062478,0,0.945195156,0.03985478,0,1814,2
6.423733087,1.15567272,1.420929251,1.138972178,0.548001271,4.06821517,1.38655468,0.019461054,0.018843631,0.865296881,0.083461046,0,1623,2
0.80984118,2.234810015,1.748737727,1.666188108,0.793778304,1.436612662,0.56217265,0.037533125,0,0.44746533,0.127852592,0,1812,2
13.93957491,1.071738199,1.219945209,0.459501136,0.148239435,2.214634146,0.742619397,0.04906256,0.008588446,0.933063691,0.280414429,0,1520,2
7.990192095,1.125153437,0.558378114,0.525712033,0.11632647,1.045797309,1.438982835,0.025990455,0,0.888767672,0.461416656,0,1051,2
2.977785523,1.335820022,1.414873876,0.766584974,2.428634474,9.660587051,1.290692222,0.034640587,0.102559096,0.748603841,0.678932197,0,1396,2
2.395538845,1.417442615,1.067740444,0.938890729,0.297925853,1.011618806,1.011501886,0.038490132,0.010433879,0.705495933,0.219329868,0,1812,2
